Customs Code,Weight,Temperature,Origin,Date,Bank,Payment Value,Currency,Cash,Prepaid,Shipping Line,Label
1,99.95036479,5.434343434,4,6/6/2016,1,420.6773246,1,0,1,1,1
6,17.43242432,18.61747518,8,7/6/2016,2,503.5000357,1,0,1,2,1
1,98.79909067,14.98514575,5,22/09/2016,1,475.4151881,1,1,1,3,1
6,96.78885546,17.07879841,8,28/09/2016,1,462.8363524,1,0,0,3,1
7,254.4343,23.27174772,8,19/02/2016,4,526.1153572,3,1,0,2,1
1,343.342,14.4986638,6,2/1/2016,4,494.8884959,1,1,0,1,1
2,91.14430839,21.65601536,8,15/07/2016,5,495.7591683,3,1,0,3,1
2,99.77080234,9.82161346,7,7/9/2016,5,413.8163233,1,1,1,3,1
6,400.32,15.41316983,10,29/09/2016,2,447.2713612,1,1,0,1,1
2,600.32,20.83388286,9,17/11/2016,2,506.3669394,1,1,1,3,1
2,93.77222206,16.2262378,4,18/01/2016,4,200.321,1,1,1,1,1
3,96.12075608,20.92475254,5,15/09/2016,5,499.5009273,3,0,1,1,1
2,600.432432,4.343434342,2,10/5/2016,1,582.2039185,1,1,1,1,1
3,100.5042206,17.90939243,8,21/01/2016,1,222.123,3,1,1,1,1
1,97.22661047,18.6145108,5,21/03/2016,1,322.4499831,3,0,0,3,1
5,200.543,16.30096397,7,7/10/2016,1,260.434,2,1,1,1,1
4,324.432,17.093585,7,2/12/2016,1,494.1593802,3,0,1,3,1
2,101.5177379,17.22048527,7,5/4/2016,1,472.2367141,3,1,0,1,1
2,103.414234,15.21042519,8,22/07/2016,1,457.4415597,3,1,1,3,1
6,402.342,17.43492101,5,28/07/2016,1,163.2283888,3,1,1,1,1
7,100.9797211,20.59725954,2,30/03/2016,2,575.8625467,1,0,1,1,1
6,95.35822797,20.50111744,4,31/07/2016,2,499.2791952,1,0,1,3,1
1,101.5200106,16.70700031,8,13/02/2016,2,180.4323434,1,1,1,2,1
3,95.66980136,17.69911776,3,13/02/2016,3,445.139811,2,1,0,1,0
2,109.6407249,17.15005932,2,9/8/2016,2,414.7802199,1,1,0,2,0
3,500.543543,19.18343162,10,10/9/2016,1,462.608907,2,1,0,3,0
4,543.543543,19.56870169,5,25/02/2016,2,585.6478134,3,1,0,3,0
5,2324.34,19.95079551,6,19/06/2016,5,574.5569216,3,0,1,1,0
2,768.878,19.78835019,10,22/04/2016,4,465.8773942,2,1,1,2,1
1,400.55,19.43095565,8,14/05/2016,4,551.2193756,2,0,0,3,0
5,325.44,15.43327848,3,30/08/2016,3,491.2468272,3,1,1,1,1
7,200.643,17.35379187,2,7/4/2016,1,1000.543534,1,1,1,1,1
6,253.543,19.38441193,7,24/05/2016,2,533.2567729,1,0,0,2,1
7,600.234,19.96513254,3,29/05/2016,3,525.4828479,1,1,1,2,1
2,102.9761808,17.31417241,4,15/04/2016,3,573.2598622,3,0,1,3,1
1,100.4183273,16.6736866,4,27/04/2016,3,534.6576007,3,0,1,1,1
4,105.2169166,18.3772498,1,15/01/2016,1,200.534534,3,1,1,1,1
2,99.28144902,17.61920626,5,18/08/2016,4,462.1447119,3,1,0,1,1
5,101.933661,20.27265637,7,12/1/2016,4,22.4324323,3,0,1,2,1
4,100.6606637,15.60083416,8,29/10/2016,3,150.435344,3,1,1,1,1
1,100.1103933,16.89317218,2,18/06/2016,1,428.642867,3,0,1,3,1
2,102.5949428,18.88065588,2,25/11/2016,4,523.8667283,3,0,1,2,1
1,103.3987443,17.71728798,8,27/10/2016,4,515.8538015,1,1,1,1,1
6,96.26597104,18.58877246,8,2/9/2016,1,546.0968777,1,1,0,1,1
3,97.19380484,18.59656167,1,14/02/2016,2,524.1481486,3,1,1,2,1
6,103.9260141,18.01056018,1,1/8/2016,1,580.9422888,1,1,1,1,1
7,95.64176062,12.14070533,3,7/8/2016,4,522.7352191,2,0,0,3,1
7,94.77461419,54.35435434,2,16/06/2016,3,501.6006065,3,1,1,2,1
1,97.36362197,16.03115473,5,6/7/2016,1,546.8458815,3,1,0,3,1
2,100.6574463,22.18845805,5,24/03/2016,1,540.8143923,1,1,0,2,1
2,100.8989379,2.65754765,5,23/05/2016,4,10000.23233,1,1,0,2,1
2,97.98114476,17.33132708,9,14/07/2016,1,480.7749024,3,1,0,2,1
2,91.06677136,17.81834248,1,24/04/2016,1,569.4721528,1,0,1,2,1
3,103.2260638,19.38435197,3,4/6/2016,3,411.2065454,3,1,1,1,1
7,96.23779788,7.434333343,7,1/1/2016,2,419.8398685,1,0,1,1,1
5,98.39389732,20.20169413,8,12/8/2016,2,515.7870541,2,0,0,2,1
1,104.5155273,13.54917846,8,1/9/2016,4,546.2711322,1,1,0,1,1
2,92.50072353,18.93935649,4,21/04/2016,2,511.3350067,3,0,0,1,1
5,98.55132236,18.14596772,9,4/4/2016,4,547.3794035,3,1,1,1,1
5,100.2891385,453.5474555,1,2/2/2016,1,530.5098149,3,1,0,2,1
1,101.3481519,21.85363387,2,26/03/2016,3,518.5194958,3,0,0,3,1
1,99.85082328,17.38980098,1,12/3/2016,1,503.5897247,3,1,0,2,1
7,89.65980027,3.543664364,2,26/03/2016,1,481.3722751,3,1,1,2,1
5,105.225789,19.40178936,3,11/5/2016,1,539.6710419,3,1,1,1,1
6,106.0279521,15.65091361,3,11/1/2016,4,513.535602,3,1,0,1,1
5,97.56450513,18.61490446,2,11/4/2016,4,565.2740851,2,1,1,2,1
3,100.0022923,17.87012997,6,24/08/2016,3,586.4321705,2,1,1,1,1
6,102.1671302,18.59238073,8,6/1/2016,4,550.3181126,3,1,1,3,1
7,102.4214493,18.33717287,7,30/06/2016,1,531.9518326,3,0,1,2,1
5,97.44411017,14.17076873,8,7/4/2016,1,578.097866,2,1,1,2,1
1,101.6332556,18.98735883,6,8/8/2016,5,457.3959667,3,1,1,2,1
1,99.80151904,20.14086086,3,10/10/2016,3,605.5726274,3,1,1,3,1
4,108.2601754,15.03492414,1,4/1/2016,3,380.981821,3,1,1,1,1
1,96.0646206,19.22362885,4,21/04/2016,3,550.1960941,1,1,1,1,1
2,105.9318254,19.31149125,1,7/1/2016,3,504.2815461,3,1,0,2,1
7,99.56802577,19.89776678,5,28/08/2016,4,467.7005375,3,1,0,2,1
2,94.05771141,16.20292728,8,26/10/2016,4,521.410016,1,1,0,1,1
7,99.64076334,15.18347789,8,1/5/2016,5,479.0133181,3,1,1,3,1
7,99.22505602,16.63052405,8,22/06/2016,1,560.2208455,3,1,1,2,1
4,100.0213185,16.54853561,2,26/09/2016,5,579.3026348,2,1,0,2,1
6,95.16527683,16.58108743,5,1/10/2016,4,561.1151094,3,0,0,3,1
2,100.8078862,18.60957924,6,19/05/2016,5,505.2006494,3,1,1,2,1
3,95.27905743,18.71411829,9,14/11/2016,5,595.0700761,3,1,0,3,1
6,105.257818,16.85822121,2,8/6/2016,5,438.501918,1,1,0,2,1
6,103.411943,21.41394164,7,13/02/2016,4,488.3675153,3,0,1,3,1
